Last updated: 2023-11-10									
Mtg #	Drug Generic Name	Drug Brand Name	Drug Class	FDA-Approved Indications	Pharmacologic Activity	Drug Target	Target Class & Location	Target Normal Role (Physiology)	Mechanism of Action (MOA)
	rivaroxaban	Xarelto	anticoagulant, factor Xa inhibitor; direct oral anticoagulant (DOAC)	coagulation disorders [specifically: Nonvalvular fibrillation, Cornary artery disease, venous thromboemoblism]	reversible competitive inhibitor	factor Xa	serine protease enzyme in plasma	In the coagulation cascade, factor Xa is part of the prothrombinase complex with factor Va, calcium ions, and phospholipid. Prothrombinase catalyzes the conversion of prothrombin to thrombin. In primary hemostasis, thrombin plays a role in platelet activation. In the coagulation cascade, thrombin converts fibrinogen to fibrin to form blood clots.	By inhibiting factor Xa of the prothrombinase complex, factor Xa inhibitors prevent the activation of thrombin, thereby attenuating the rate of conversion of fibrinogen to fibrin in the coagulation cascade while also reducing platelet activation and aggregation to prevent clots in coagulation disorders.
	warfarin	Coumadin; Jantoven	anticoagulant, vitamin K antagonist	coagulation disorders [specifically: myocardial infarction; thromboembolic complications]	reversible competitive inhibitor	vitamin K epoxide reductase (VKORC1)	oxidoreductase enzyme in liver	Hepatic synthesis of coagulation factors II, VII, IX, and X, as well as proteins C and S, requires the presence of vitamin K. These clotting factors are biologically activated via carboxylation of the amino acid glutamic acid (Glu) to gamma-carboxyglutamic acid (Gla), and in the process, active vitamin K is oxidatively converted to its inactive form. Vitamin K epoxide reductase (VKOR) restores active vitamin K.	As an competitive inhibitor of VKORC1, warfarin blocks the production of vitamin K and reduces the synthesis of active clotting factors including factors II, VII, IX, X as well as protein C and S.
	alteplase	Activase	thrombolytic agent	acute ischemic stroke; ST-elevation myocardial infarction; pulmonary embolism	activator	plasminogen	zymogen located in plasma [Note: an inactive, circulating protein]	Primary fibrinolysis refers to the normal physiologic process that breaks down naturally occurring blood clots from growing and causing problems. Plasmin is an important serine protease that degrades many blood plasma proteins, including fibrin clots. Plasmin is released as a zymogen called plasminogen from the liver into the systemic circulation. Upon binding to clots, plasminogen adopts an open form that can be converted into active plasmin by tissue plasminogen activator (tPA), urokinase plasminogen activator (uPA), and other enzymes. Activated plasmin then initiates local fibrinolysis by hydrolyzing the fibrin protein. 	By binding to fibrin in a thrombus (clot) and converting entrapped plasminogen to plasmin, thrombolytic agents initiate local fibrinolysis to dissolve blood clots associated with coagulation disorders.
	tenecteplase	TNKase	thrombolytic agent	ST-elevation myocardial infarction	activator	plasminogen	zymogen located in plasma [Note: an inactive, circulating protein]	Primary fibrinolysis refers to the normal physiologic process that breaks down naturally occurring blood clots from growing and causing problems. Plasmin is an important serine protease that degrades many blood plasma proteins, including fibrin clots. Plasmin is released as a zymogen called plasminogen from the liver into the systemic circulation. Upon binding to clots, plasminogen adopts an open form that can be converted into active plasmin by tissue plasminogen activator (tPA), urokinase plasminogen activator (uPA), and other enzymes. Activated plasmin then initiates local fibrinolysis by hydrolyzing the fibrin protein. 	By binding to fibrin in a thrombus (clot) and converting entrapped plasminogen to plasmin, thrombolytic agents initiate local fibrinolysis to dissolve blood clots associated with coagulation disorders.
	Week 08								
15	aspirin	N/A	antiplatelet agent, salicylate; nonsteroidal anti-inflammatory drug (NSAID), oral; analgesic, nonopioid [Note: the actual pharmacologic categories include "Antiplatelet; Salicylate" (i.e., two different drug classes) - we're modifying those in 503 to make them more consistent and, hopefully, easier to remember]	secondary prevention after acute coronary syndromes (ACS) [Note: the actucal indications are listed as "Vascular indications, including ischemic stroke, transient ischemic attack, acute coronary syndromes (ST-elevation myocardial infarction or non-ST-elevation acute coronary syndromes [non-ST-elevation myocardial infarction or unstable angina]), secondary prevention after acute coronary syndromes, and management of stable ischemic heart disease."]	irreversible competitive inhibitor	cyclooxygenase-1 enzyme (COX-1)	oxidoreductase enzyme in platelets [and many other cell types]	COX-1 [and COX-2] catalyzes the conversion of arachidonic acid to prostaglandin H2 (PGH2), the precursor to prostanoids. During primary hemostasis, platelets must be activated to undergo aggregation and cross linking to form a hemostatic plug. The interaction of platelets with collagen fibrils exposed at the site of injury serve as a strong stimulus for platelet activation. This releases arachidonic acid from the phospholipid bilayer, which is converted to PGH2 by COX-1. PGH2 is quickly converted into TXA2, which diffuses out of the cell to serve in autocrine and paracrine signaling to recruit and stimulate neighboring platelets. TXA2 binds to platelet TP receptors that signal via Gɑq to increase the intracellular concentration of Ca2+, thereby stimulating the activation and display of GP IIb/IIIa on the platelet's surface. In turn, this serves as the platelet's fibrinogen receptor, allowing very large clumps, or aggregates, of platelets to assemble at the site of platelet activation.	Salicylate antiplatelet agents irreversibly inhibit the platelet COX-1 enzyme to reduce formation of TXA2, thus attenuating platelet activation and aggregation to reduce the risk of thrombus formation that could lead to an ACS event.
	clopidogrel	Plavix	antiplatelet agent, thienopyridine; P2Y12 antagonist	acute coronary syndromes (ACS) [Note: the actual indications are listed as "ST-segment elevation myocardial infarction; Non-ST-segment elevation acute coronary syndromes; Myocardial infarction, ischemic stroke/transient ischemic attack, or peripheral atherosclerotic disease."]	irreversible orthosteric antagonist	P2Y12 receptor (P2Y12R)	GPCR on platelets	During primary hemostasis, platelets must be activated to undergo aggregation and cross linking to form a hemostatic plug. Activated platelets secrete preformed ADP from dense granules. ADP serves in both autocrine and paracrine signaling to recruit and stimulate neighboring platelets. ADP activates P2Y12R on the surface of platelets and signal via Gɑi to inhibit AC production of cAMP. The reduced concentration of cAMP flips a switch from PKA activity to PKC activity. As a kinase, PKC modulates the activities of numerous downstream substrates to initiate platelet shape change, dense granule secretion, and the activation and display of GP IIb/IIIa on the platelet's surface. This serves as the platelet's fibrinogen receptor, allowing very large clumps, or aggregates, of platelets to assemble at the site of platelet activation.	Following in vivo biotransformation of the thienopyridine API,the  active metabolite irreversibly blocks the P2Y12 receptor on the platelet surface, thus attenuating platelet activation and aggregation to reduce the risk of thrombus formation that could lead to an ACS event.
	prasugrel	Effient	antiplatelet agent, thienopyridine; P2Y12 antagonist	acute coronary syndromes (ACS) [Note: the actual indications are listed as "Acute coronary syndrome managed by percutaneous coronary intervention."]	irreversible orthosteric antagonist	P2Y12 receptor (P2Y12R)	GPCR on platelets	During primary hemostasis, platelets must be activated to undergo aggregation and cross linking to form a hemostatic plug. Activated platelets secrete preformed ADP from dense granules. ADP serves in both autocrine and paracrine signaling to recruit and stimulate neighboring platelets. ADP activates P2Y12R on the surface of platelets and signal via Gɑi to inhibit AC production of cAMP. The reduced concentration of cAMP flips a switch from PKA activity to PKC activity. As a kinase, PKC modulates the activities of numerous downstream substrates to initiate platelet shape change, dense granule secretion, and the activation and display of GP IIb/IIIa on the platelet's surface. This serves as the platelet's fibrinogen receptor, allowing very large clumps, or aggregates, of platelets to assemble at the site of platelet activation.	Following in vivo biotransformation of the thienopyridine API,the  active metabolite irreversibly blocks the P2Y12 receptor on the platelet surface, thus attenuating platelet activation and aggregation to reduce the risk of thrombus formation that could lead to an ACS event.
	ticagrelor	Brilinta	antiplatelet agent, non-thienopyridine; P2Y12 antagonist	acute coronary syndromes (ACS) [Note: the actual indications are listed as "Acute coronary syndrome; Coronary artery disease (stable) and high risk for ischemic cardiovascular events, primary prevention; Minor ischemic stroke (based on National Institutes of Health Stroke Scale score) or high-risk transient ischemic attack (based on ABCD2 score)."]	reversible allosteric antagonist	P2Y12 receptor (P2Y12R)	GPCR on platelets	During primary hemostasis, platelets must be activated to undergo aggregation and cross linking to form a hemostatic plug. Activated platelets secrete preformed ADP from dense granules. ADP serves in both autocrine and paracrine signaling to recruit and stimulate neighboring platelets. ADP activates P2Y12R on the surface of platelets and signal via Gɑi to inhibit AC production of cAMP. The reduced concentration of cAMP flips a switch from PKA activity to PKC activity. As a kinase, PKC modulates the activities of numerous downstream substrates to initiate platelet shape change, dense granule secretion, and the activation and display of GP IIb/IIIa on the platelet's surface. This serves as the platelet's fibrinogen receptor, allowing very large clumps, or aggregates, of platelets to assemble at the site of platelet activation.	Non-thienopyridine antiplatelet agents allostericallyl block the P2Y12 receptor on the platelet surface, thus attenuating platelet activation and aggregation to reduce the risk of thrombus formation that could lead to an ACS event.
	eptifibatide	Integrilin	antiplatelet agent, glycoprotein IIb/IIIa inhibitor	acute coronary syndromes (ACS) [Note: the actual indications are listed as "Percutaneous coronary intervention; Non-ST elevation acute coronary syndromes."]	reversible orthosteric antagonist	glycoprotein IIb/IIIa receptors	glycoprotein on platelets	During primary hemostasis, platelets must be activated to undergo aggregation and cross linking to form a hemostatic plug. Platelet activation occurs when the Gɑq and Gɑi pathways are activated to increase the intracellular concentration of Ca2+ and decrease the intracellular concentration of cAMP. Those conditions stimulate the activation and display of GP IIb/IIIa on the platelet's surface. This serves as the platelet's fibrinogen receptor, allowing very large clumps, or aggregates, of platelets to assemble at the site of platelet activation.	GP IIb/IIIa inhibitor antiplatelet agents act as reversible antagonists that block the binding of fibrinogen to the GP IIb/IIIa receptor on the surfaces of activated platelets. This attenuates platelet aggregation, thereby reducing the risk of thrombus formation that could lead to an ACS event.
	tirofiban	Aggrastat	antiplatelet agent, glycoprotein IIb/IIIa inhibitor	acute coronary syndromes (ACS) [Note: the actual indications are listed as "Percutaneous coronary intervention; Non-ST elevation acute coronary syndromes."]	reversible orthosteric antagonist	glycoprotein IIb/IIIa receptors	glycoprotein on platelets	During primary hemostasis, platelets must be activated to undergo aggregation and cross linking to form a hemostatic plug. Platelet activation occurs when the Gɑq and Gɑi pathways are activated to increase the intracellular concentration of Ca2+ and decrease the intracellular concentration of cAMP. Those conditions stimulate the activation and display of GP IIb/IIIa on the platelet's surface. This serves as the platelet's fibrinogen receptor, allowing very large clumps, or aggregates, of platelets to assemble at the site of platelet activation.	GP IIb/IIIa inhibitor antiplatelet agents act as reversible antagonists that block the binding of fibrinogen to the GP IIb/IIIa receptor on the surfaces of activated platelets. This attenuates platelet aggregation, thereby reducing the risk of thrombus formation that could lead to an ACS event.
	Week 09								
16	sildenafil	Viagra; Revatio	phosphodiesterase type-5 (PDE5) inhibitor	erectile dysfunction (ED; Viagra); pulmonary arterial hypertension (Revatio)	reversible competitive inhibitor	phosphodiesterase type-5 (PDE5)	hydrolase enzyme in vascular smooth mucle cells (SMCs)	During normal sexual stimulation, nitric oxide (NO) is released from endothelial cells of the corpus cavernosum. NO then diffuses across membranes to activate the enzyme soluble guanylate cyclase in vascular SMCs, which catalyzes the formation of cyclic guanosine monophosphate (cGMP), producing muscle relaxation and inflow of blood to the corpus cavernosum. PDE5 hydrolyzes cGMP to GMP to deactivate the erection-producing signal.	PDE5 inhibitors enhance the effect of NO by maintaining an increased concentration of cGMP in the vascular SMCs of the corpus cavernosum. This results in smooth muscle relaxation and inflow of blood to the corpus cavernosum.
	tadalafil	Cialis; Adcirca	phosphodiesterase type-5 (PDE5) inhibitor	erectile dysfunction (ED)	reversible competitive inhibitor	PDE5	hydrolase enzyme in vascular smooth mucle cells (SMCs)	During normal sexual stimulation, nitric oxide (NO) is released from endothelial cells of the corpus cavernosum. NO then diffuses across membranes to activate the enzyme soluble guanylate cyclase in vascular SMCs, which catalyzes the formation of cyclic guanosine monophosphate (cGMP), producing muscle relaxation and inflow of blood to the corpus cavernosum. PDE5 hydrolyzes cGMP to GMP to deactivate the erection-producing signal.	PDE5 inhibitors enhance the effect of NO by maintaining an increased concentration of cGMP in the vascular SMCs of the corpus cavernosum. This results in smooth muscle relaxation and inflow of blood to the corpus cavernosum.
	tamsulosin	Flomax	alpha-1 blocker	lower urinary tract symptoms (LUTS) associated with prostatic hyperplasia (BPH) [Note: used off-label for chronic prostatitis/chronic pelvic pain syndrome in males; Lower urinary tract symptoms in males; Ureteral stone(s), expulsion; Ureteral stent-related urinary symptoms, treatment]	reversible orthosteric antagonist	alpha-1 adrenergic receptors (AR)	GPCR on SMCs on bladder's internal urethral sphincter	The internal urethra sphincter is a smooth muscle located at the junction of the urethra with the inferior end of the bladder. Smooth muscle tone is maintained by sympathetic neurotransmission to prevent urine leakage. NE secreted by sympathetic neurons activates alpha-1 ARs on SMCs of the sphincter, which signal through Gαq to increase the intracellular Ca2+ concentration. The intracellular Ca2+ binds to calmodulin and the complex activates MLCK, which phosphorylates myosin, which interacts with actin to induce SMC contraction. In the internal urethral sphincter, SMC contraction closes or restricts the bladder outlet.	Alpha-1 AR antagonists prevent sympathetic activation of the receptor by NE. In SMCs of the bladder's lower urethral sphincter, this reduces the sympathetic tone-induced constriction of the sphincter that contributes to the increased outlet resistance (a LUTS) associated with BPH.
	solifenacin	Vesicare	anticholinergic agent	overactive bladder (OAB) [SFS note: there are other approved indications that are worth tabulating in your notes but these are sufficient for MFDA]	reversible orthosteric antagonist	mAChR	GPCR on SMCs of the bladder wall [detrusor muscle]	The detrusor muscle is a smooth muscle found in the wall of the bladder. The muscle remains relaxed to allow the bladder to store urine. During urination, the detrusor muscle is contracted via parasympathetic neurotransmission to empty the bladder. ACh secreted by parasympathetic neurons activates mAChRs on SMCs of the bladder wall resulting in Gαq signaling to increase the Ca2+ concentration. The intracellular Ca2+ binds to calmodulin and the complex activates MLCK, which phosphorylates myosin, which interacts with actin to induce SMC contraction. In the bladder wall, SMC contraction is responsible for bladder emptying.	Muscarinic AChR antagonists block parasympathetic activation of the receptor by ACh. In SMCs of the bladder wall, this reduces urinary bladder contraction that results in OAB-associated LUTS such as urinary frequency or urgency.
	tolterodine	Detrol	anticholinergic agent	OAB	reversible orthosteric antagonist	mAChR	GPCR on SMCs of the bladder wall [detrusor muscle]	The detrusor muscle is a smooth muscle found in the wall of the bladder. The muscle remains relaxed to allow the bladder to store urine. During urination, the detrusor muscle is contracted via parasympathetic neurotransmission to empty the bladder. ACh secreted by parasympathetic neurons activates mAChRs on SMCs of the bladder wall resulting in Gαq signaling to increase the Ca2+ concentration. The intracellular Ca2+ binds to calmodulin and the complex activates MLCK, which phosphorylates myosin, which interacts with actin to induce SMC contraction. In the bladder wall, SMC contraction is responsible for bladder emptying.	Muscarinic AChR antagonists block parasympathetic activation of the receptor by ACh. In SMCs of the bladder wall, this reduces urinary bladder contraction that results in OAB-associated LUTS such as urinary frequency or urgency.
	oxybutynin	Ditropan XL	antispasmodic agent, urinary	OAB	reversible orthosteric antagonist	mAChR	GPCR on SMCs of the bladder wall [detrusor muscle]	The detrusor muscle is a smooth muscle found in the wall of the bladder. The muscle remains relaxed to allow the bladder to store urine. During urination, the detrusor muscle is contracted via parasympathetic neurotransmission to empty the bladder. ACh secreted by parasympathetic neurons activates mAChRs on SMCs of the bladder wall resulting in Gαq signaling to increase the Ca2+ concentration. The intracellular Ca2+ binds to calmodulin and the complex activates MLCK, which phosphorylates myosin, which interacts with actin to induce SMC contraction. In the bladder wall, SMC contraction is responsible for bladder emptying.	As an mAChR antagonist, oxybutynin blocks parasympathetic activation of the receptor by ACh. In SMCs of the bladder wall, this reduces urinary bladder contraction that results in OAB-associated LUTS such as urinary frequency or urgency. Oxybutynin's antispasmodic activity is attributed to its polypharmacology, especially its ability to block some NaV channels and other voltage-gated ion channels.
	mirabegron	Myrbetriq	beta-3 agonist	OAB [Details include — Overactive bladder: Treatment of overactive bladder in adults with symptoms of urinary frequency, urgency, or urge urinary incontinence as monotherapy or in combination with an antimuscarinic agent (AUA/SUFU). Neurogenic detrusor overactivity: Treatment of neurogenic detrusor overactivity in pediatric patients ≥3 years of age (granules) and weighing ≥35 kg (tablets).]	agonist	beta-3 adrenergic receptors (ARs)	GPCR on SMCs of the bladder wall [detrusor muscle]	The detrusor muscle is a smooth muscle found in the wall of the bladder. Normally, the muscle is kept relaxed via sympathetic neurotransmission to allow the bladder to fill and store urine. NE secreted by sympathetic neurons activates beta-3 ARs on SMCs of the bladder wall, resulting in Gαs signaling to increase the cAMP concentration, activate PKA, and activate MLCP, which dephosphorylates myosin to deactivate the actin-myosin contractile motions. This results in relaxation of the detrusor smooth muscle during the urine storage phase, thus increasing bladder capacity.	Beta-3 AR agonists activate the receptors on SMCs in the bladder wall, resulting in relaxation of the detrusor smooth muscle, thereby increasing bladder capacity to attenuate OAB-associated LUTS such as urinary frequency or urgency.
17	famotidine	Pepcid	histamine H2 receptor antagonist (H2RA)	GERD; PUD; heartburn	reversible orthosteric antagonist	histamine H2 receptor (H2R)	GCPR on parietal cells within the GI tract 	Normally, histamine secreted by ECL cells activates H2R on parietal cells. This activation is coupled to G-alpha-s subunits, which causes an increase in cAMP, which activates PKA. PKA  phosphorylates cytoskeletal proteins to facilitate the fusion of H+/K+ ATPase (proton pump) tubulovesicles with the luminal cell membrane to increase gastric acid secretion 	By blocking the H2 receptor activation by histamine, H2R antagonists decrease gastric acid secretion and reduce irritation/damage in the stomach symptomatic of acid-peptic diseases
	esomeprazole	Nexium	proton pump inhibitor	GERD; PUD	irreversible inhibitor	H+/K+ ATPase (proton pump)	transporter on parietal cells	Normally, following feeding, parietal cells are stimulated by histamine, gastrin, or acetylcholine to phosphorylate cytoskeletal proteins that facilitate the fusion of H+/K+ ATPase (proton pump) tubulovesicles with the luminal cell membrane. The proton pump moves H+ into the stomach lumen as part of the "gastric juice" that initiates digestion.	By irreversibly inhibiting the proton pump, PPIs suppress both basal and stimulated gastric acid secretionto reduce irritation/damage to the stomach that is symptomatic of acid-peptic diseases like GERD and PUD 
	lansoprazole	Prevacid	proton pump inhibitor	GERD; PUD	irreversible inhibitor	H+/K+ ATPase (proton pump)	transporter on parietal cellsl	Normally, following feeding, parietal cells are stimulated by histamine, gastrin, or acetylcholine to phosphorylate cytoskeletal proteins that facilitate the fusion of H+/K+ ATPase (proton pump) tubulovesicles with the luminal cell membrane. The proton pump moves H+ into the stomach lumen as part of the "gastric juice" that initiates digestion.	By irreversibly inhibiting the proton pump, PPIs suppress both basal and stimulated gastric acid secretionto reduce irritation/damage to the stomach that is symptomatic of acid-peptic diseases like GERD and PUD 
	omeprazole	Prilosec	proton pump inhibitor	GERD; PUD	irreversible inhibitor	H+/K+ ATPase (proton pump)	transporter on parietal cellsl	Normally, following feeding, parietal cells are stimulated by histamine, gastrin, or acetylcholine to phosphorylate cytoskeletal proteins that facilitate the fusion of H+/K+ ATPase (proton pump) tubulovesicles with the luminal cell membrane. The proton pump moves H+ into the stomach lumen as part of the "gastric juice" that initiates digestion.	By irreversibly inhibiting the proton pump, PPIs suppress both basal and stimulated gastric acid secretionto reduce irritation/damage to the stomach that is symptomatic of acid-peptic diseases like GERD and PUD 
	pantoprazole	Protonix	proton pump inhibitor	GERD; PUD	irreversible inhibitor	H+/K+ ATPase (proton pump)	transporter on parietal cellsl	Normally, following feeding, parietal cells are stimulated by histamine, gastrin, or acetylcholine to phosphorylate cytoskeletal proteins that facilitate the fusion of H+/K+ ATPase (proton pump) tubulovesicles with the luminal cell membrane. The proton pump moves H+ into the stomach lumen as part of the "gastric juice" that initiates digestion.	By irreversibly inhibiting the proton pump, PPIs suppress both basal and stimulated gastric acid secretionto reduce irritation/damage to the stomach that is symptomatic of acid-peptic diseases like GERD and PUD 
	Week 10								
18	mirtazapine	Remeron	antidepressant, alpha-2 antagonist	major depressive disorder (MDD)	reversible orthosteric antagonist	alpha-2 adrenergic receptor	GPCR on CNS pre-synaptic neurons [it is the alpha-2 autoreceptor activity that is key]	The integrated model for depression proposes that serotonin (5HT), norepinephrine (NE), and/or dopamine (DA) neurotransmission are impaired, and disruption of these three neurotransmitters affect regulatory feedback loops that turn off the stress response, leading to immune activation and release of pro-inflammatory cytokines, which further interfere with monoaminergic and neurotrophic signaling. Normally, alpha-2 ARs act as autoreceptors on CNS pre-synaptic neurons, and activation of alpha-2 ARs by NE modulates the release of NE and 5HT to influence subsequent neurotransmission.	Alpha-2 AR antagonists block the activation alpha-2 AR autoreceptors on CNS pre-synaptic neurons to increase the release of NE and 5HT. By increasing the synaptic availability of NE and 5HT, alpha-2 antagonists increase serotonergic and noradrenergic transmission to reduce symptoms of depression. [Note: Mirtazapine is also a potent antagonist of 5HT2 and 5HT3 serotonin receptors and H1 histamine receptors, and a moderate peripheral alpha1-AR and mAChR antagonist.]
	bupropion	Wellbutrin SR; Wellbutrin XL [Note: the brand names Wellbutrin and Zyban have been discontinued in the US]	antidepressant, dopamine/norepinephrine reuptake inhibitor (DNRI)	MDD; seasonal affective disorder [Note: Zyban was indicated for smoking cessation]	reversible inhibitor	dopamine transporter (DAT) and norepinephrine transporter (NET)	transporter on CNS pre-synaptic neurons	The integrated model for depression proposes that serotonin (5HT), norepinephrine (NE), and/or dopamine (DA) neurotransmission are impaired, and disruption of these three neurotransmitters affect regulatory feedback loops that turn off the stress response, leading to immune activation and release of pro-inflammatory cytokines, which further interfere with monoaminergic and neurotrophic signaling. Normally, DAT and NET act to take up DA and NE, respectively, that were secreted into the synapse. This serves to terminate the dopaminergic and noradrenergic neurotransmission and allow for DA and NE catabolism or recycling.	Dopamine/norepinephrine reuptake inhibitors attenuate the activities of both DAT and NET, therby reducing the reuptake of DA and NE from CNS synapses. By increasing the synaptic availabilities of DA and NE, DNRIs increase dopaminergic and noradrenergic neurotransmission in the CNS to reduce symptoms of depression.
	tranylcypromine	Parnate	antidepressant, monoamine oxidase inhibitor (MAOI)	MDD	irreversible inhibitor	monoamine oxidase (MAO-A and MAO-B)	oxidoreductase in presynaptic termini in CNS neurons	The integrated model for depression proposes that serotonin (5HT), norepinephrine (NE), and/or dopamine (DA) neurotransmission are impaired, and disruption of these three neurotransmitters affect regulatory feedback loops that turn off the stress response, leading to immune activation and release of pro-inflammatory cytokines, which further interfere with monoaminergic and neurotrophic signaling. Normally, the enzymes MAO-A and MAO-B catabolize the monoamine neurotransmitters 5HT and NE and decrease their availability for neurotransmission. This plays a role in terminating the dopaminergic and noradrenergic neurotransmission.	Monoamine oxidase inhibitors attenuate the activities of MAO-A and/or MAO-B, thereby by reducing the catabolism of 5HT and NE from CNS synapses. By increasing the synaptic availabilities of 5HT and NE, MAOIs increase serotonergic and noradrenergic neurotransmission in the CNS to reduce symptoms of depression.
	citalopram	Celexa	antidepressant, selective serotonin reuptake inhibitor (SSRI)	MDD	reversible inhibitor [Note: because the target class is "transporter" rather than enzyme, the term "inhibitor" wouldn't normally apply to this drug class; however, because it is "Selective Serotonin Reuptake Inhibitor" we use "inhhibitor" for consistency]	serotonin transporter (SERT)	transporter on CNS pre-synaptic neurons	The integrated model for depression proposes that serotonin (5HT), norepinephrine (NE), and/or dopamine (DA) neurotransmission are impaired, and disruption of these three neurotransmitters affect regulatory feedback loops that turn off the stress response, leading to immune activation and release of pro-inflammatory cytokines, which further interfere with monoaminergic and neurotrophic signaling. Normally, SERT acts to take up 5HT that was secreted into the synapse. This serves to terminate the serotonergic neurotransmission and allow for 5HT catabolism or recycling.	Selective serotonin reuptake inhibitors attenuate the activiy of SERT, therby reducing the reuptake of 5HT from CNS synapses. By increasing the synaptic availability of 5HT, SSRIs increase serotonergic neurotransmission in the CNS and downregulate serotonergic receptor production to normal levels. Together, these effects reduce symptoms of depression.
	escitalopram	Lexapro	antidepressant, selective serotonin reuptake inhibitor (SSRI)	MDD; generalized anxiety disorder	reversible inhibitor	serotonin transporter (SERT)	transporter on CNS pre-synaptic neurons	The integrated model for depression proposes that serotonin (5HT), norepinephrine (NE), and/or dopamine (DA) neurotransmission are impaired, and disruption of these three neurotransmitters affect regulatory feedback loops that turn off the stress response, leading to immune activation and release of pro-inflammatory cytokines, which further interfere with monoaminergic and neurotrophic signaling. Normally, SERT acts to take up 5HT that was secreted into the synapse. This serves to terminate the serotonergic neurotransmission and allow for 5HT catabolism or recycling.	Selective serotonin reuptake inhibitors attenuate the activiy of SERT, therby reducing the reuptake of 5HT from CNS synapses. By increasing the synaptic availability of 5HT, SSRIs increase serotonergic neurotransmission in the CNS and downregulate serotonergic receptor production to normal levels. Together, these effects reduce symptoms of depression.
	fluoxetine	Prozac	antidepressant, selective serotonin reuptake inhibitor (SSRI)	MDD; bipolar disorder; anxiety disorders	reversible inhibitor	serotonin transporter (SERT)	transporter on CNS pre-synaptic neurons	The integrated model for depression proposes that serotonin (5HT), norepinephrine (NE), and/or dopamine (DA) neurotransmission are impaired, and disruption of these three neurotransmitters affect regulatory feedback loops that turn off the stress response, leading to immune activation and release of pro-inflammatory cytokines, which further interfere with monoaminergic and neurotrophic signaling. Normally, SERT acts to take up 5HT that was secreted into the synapse. This serves to terminate the serotonergic neurotransmission and allow for 5HT catabolism or recycling.	Selective serotonin reuptake inhibitors attenuate the activiy of SERT, therby reducing the reuptake of 5HT from CNS synapses. By increasing the synaptic availability of 5HT, SSRIs increase serotonergic neurotransmission in the CNS and downregulate serotonergic receptor production to normal levels. Together, these effects reduce symptoms of depression.
	paroxetine	Paxil	antidepressant, selective serotonin reuptake inhibitor (SSRI)	MDD; anxiety disorders	reversible inhibitor	serotonin transporter (SERT)	transporter on CNS pre-synaptic neurons	The integrated model for depression proposes that serotonin (5HT), norepinephrine (NE), and/or dopamine (DA) neurotransmission are impaired, and disruption of these three neurotransmitters affect regulatory feedback loops that turn off the stress response, leading to immune activation and release of pro-inflammatory cytokines, which further interfere with monoaminergic and neurotrophic signaling. Normally, SERT acts to take up 5HT that was secreted into the synapse. This serves to terminate the serotonergic neurotransmission and allow for 5HT catabolism or recycling.	Selective serotonin reuptake inhibitors attenuate the activiy of SERT, therby reducing the reuptake of 5HT from CNS synapses. By increasing the synaptic availability of 5HT, SSRIs increase serotonergic neurotransmission in the CNS and downregulate serotonergic receptor production to normal levels. Together, these effects reduce symptoms of depression.
	sertraline	Zoloft	antidepressant, selective serotonin reuptake inhibitor (SSRI)	MDD; anxiety disorders	reversible inhibitor	serotonin transporter (SERT)	transporter on CNS pre-synaptic neurons	The integrated model for depression proposes that serotonin (5HT), norepinephrine (NE), and/or dopamine (DA) neurotransmission are impaired, and disruption of these three neurotransmitters affect regulatory feedback loops that turn off the stress response, leading to immune activation and release of pro-inflammatory cytokines, which further interfere with monoaminergic and neurotrophic signaling. Normally, SERT acts to take up 5HT that was secreted into the synapse. This serves to terminate the serotonergic neurotransmission and allow for 5HT catabolism or recycling.	Selective serotonin reuptake inhibitors attenuate the activiy of SERT, therby reducing the reuptake of 5HT from CNS synapses. By increasing the synaptic availability of 5HT, SSRIs increase serotonergic neurotransmission in the CNS and downregulate serotonergic receptor production to normal levels. Together, these effects reduce symptoms of depression.
	trazodone	Desyrel	antidepressant, serotonin antagonist and reuptake inhibitor (SARI)	MDD	reversible inhibitor (at SERT) and reversible orthosteric antagonist (at 5HT2aR)	serotonin transporter (SERT) and 5HT2a receptor	transporter on CNS pre-synaptic neurons and GPCR on CNS pre-synatptic neurons	Normally, SERT acts to take up 5HT that was secreted into the synapse. This serves to terminate the serotonergic neurotransmission and allow for 5HT catabolism or recycling. Alpha-2 ARs act as autoreceptors on CNS pre-synaptic neurons, and activation of alpha-2 ARs by NE modulates the release of NE and 5HT to influence subsequent neurotransmission. 	Serotonin antagonist and reuptake inhibitors are inherently polypharmacologic. As alpha-2 AR antagonists, they block the activation alpha-2 AR autoreceptors on CNS pre-synaptic neurons to increase the release of NE and 5HT. In addition, as serotonin reuptake inhibitors, they attenuate the activiy of SERT, therby reducing the reuptake of 5HT from CNS synapses. By increasing the synaptic availabilities of NE and 5HT, SARIs increase serotonergic and noradrenergic transmission in the CNS to reduce symptoms of depression.
